Customer ID,Loan ID,Loan Amount,Tenure,Interest Rate,Monthly payment,EMIs paid on Time,Date of Approval,End Date
14,5930,900000,129,8.2,15344,114,3/9/2017,12/9/2027
270,2941,300000,3,13.46,100000,3,9/6/2011,12/6/2011
28,5152,200000,147,12.39,5526,126,7/13/2015,10/13/2027
68,6701,500000,171,12.72,15631,160,1/4/2021,4/4/2035
244,7997,400000,135,12.1,10408,81,5/2/2019,8/2/2030
229,4648,700000,18,12.57,43777,13,9/10/2020,3/10/2022
29,8977,200000,21,17.07,11150,19,7/8/2011,4/8/2013
93,8532,200000,144,13.03,6039,99,11/11/2011,11/11/2023
138,8579,200000,159,10.65,4688,141,11/25/2011,2/25/2025
53,8321,100000,177,9.59,2036,123,8/7/2011,5/7/2026
12,2108,800000,120,9.14,15986,104,12/8/2019,12/8/2029
133,3832,1000000,9,9.12,111111,6,11/1/2016,8/1/2017
187,4207,200000,120,17.1,8080,74,1/30/2014,1/30/2024
21,1548,600000,102,17.89,21947,65,12/1/2022,6/1/2031
251,6957,600000,90,16.14,19001,56,2/16/2018,8/16/2025
105,1313,500000,69,13.21,13475,42,7/1/2017,4/1/2023
173,2751,200000,81,12.84,5097,50,3/9/2016,12/9/2022
280,1787,600000,132,16.87,25253,88,12/29/2021,12/29/2032
35,9640,600000,129,11.83,14228,122,2/23/2012,11/23/2022
209,6917,700000,84,10.42,16678,79,1/10/2022,1/10/2029
70,1438,500000,57,17.52,16732,56,8/13/2013,5/13/2018
186,2767,500000,150,16.78,21444,111,8/26/2018,2/26/2031
270,6018,600000,120,8.91,11739,94,12/2/2017,12/2/2027
223,3363,700000,120,14.01,21644,99,4/4/2019,4/4/2029
107,6719,200000,102,10.15,4249,92,1/26/2010,7/26/2018
265,8112,500000,54,16.06,16800,35,7/17/2015,1/17/2020
260,9996,600000,90,18,21236,59,2/12/2023,8/12/2030
15,4439,900000,105,8.87,16917,64,3/7/2016,12/7/2024
125,2826,400000,15,9.79,29277,9,2/18/2022,5/18/2023
173,7191,300000,93,14.61,8379,90,8/1/2023,5/1/2031
129,3792,300000,159,9.55,6176,112,1/6/2016,4/6/2029
276,3056,400000,141,16.32,14964,99,7/24/2013,4/24/2025
24,6592,300000,147,8.37,5354,93,9/26/2016,12/26/2028
288,1151,900000,24,17.01,51343,19,7/24/2017,7/24/2019
74,5639,200000,81,10.59,4517,74,5/28/2022,2/28/2029
258,8659,500000,63,9.65,12580,60,3/14/2010,6/14/2015
290,3301,800000,108,14.55,25155,86,8/19/2016,8/19/2025
184,4364,200000,126,13.61,5686,118,8/27/2014,2/27/2025
187,1302,1000000,90,15.24,29990,61,6/3/2020,12/3/2027
29,8265,700000,150,13.23,20727,127,11/13/2020,5/13/2033
2,5607,400000,81,13.16,10369,64,3/20/2017,12/20/2023
191,1039,600000,63,14.52,18759,63,7/6/2014,10/6/2019
250,7023,500000,81,16.79,15665,57,7/31/2023,4/30/2030
240,1336,800000,162,12.03,21623,93,12/22/2019,6/22/2033
241,5189,400000,153,10.72,8873,133,11/22/2011,8/22/2024
215,7879,800000,177,13.55,26775,152,3/12/2015,12/12/2029
84,6700,500000,72,17.63,18397,66,5/21/2016,5/21/2022
295,7102,600000,120,12.89,16808,105,12/19/2021,12/19/2031
113,4722,700000,138,15.36,24425,93,6/10/2023,12/10/2034
202,2459,600000,105,15.98,18708,87,12/3/2017,9/3/2026
81,7884,900000,87,13.91,25743,61,2/10/2014,5/10/2021
86,3514,800000,87,15.08,24579,46,10/19/2012,1/19/2020
274,6628,500000,153,12.55,13503,153,8/7/2016,5/7/2029
298,8640,300000,150,11.04,7027,77,11/7/2015,5/7/2028
187,4951,200000,144,13.7,6483,75,3/2/2011,3/2/2023
213,2235,800000,93,16.45,24979,58,3/29/2011,12/29/2018
172,6396,500000,165,17.78,25434,161,8/3/2011,5/3/2025
237,5578,500000,162,11.03,12028,148,8/5/2010,2/5/2024
59,1047,900000,114,10.86,19967,102,3/27/2011,9/27/2020
240,2645,800000,171,11.41,21234,160,12/25/2011,3/25/2026
24,9436,200000,105,10.67,4286,74,7/1/2017,4/1/2026
70,3213,300000,129,14.53,9031,80,11/3/2019,8/3/2030
263,3176,800000,18,14.91,51071,11,6/20/2019,12/20/2020
154,7197,200000,150,15.37,7414,93,9/18/2013,3/18/2026
129,2542,300000,72,12.58,8483,65,5/2/2017,5/2/2023
167,7928,700000,138,14.16,21771,84,2/14/2016,8/14/2027
221,4149,900000,15,9.15,65490,8,7/29/2014,10/29/2015
131,7329,1000000,132,16.74,41576,103,3/12/2023,3/12/2034
20,1003,900000,102,12.54,22704,87,11/4/2010,5/4/2019
71,3238,500000,51,16.41,18004,48,3/11/2018,6/11/2022
236,4789,800000,168,15.56,36065,121,2/21/2014,2/21/2028
150,2357,200000,21,9.69,10447,18,7/5/2021,4/5/2023
204,1346,900000,105,16.35,28786,98,10/17/2020,7/17/2029
265,6262,200000,102,14.37,5740,72,10/14/2022,4/14/2031
17,6710,900000,27,15.42,44406,16,9/13/2019,12/13/2021
175,9935,600000,168,8.57,11292,99,11/26/2019,11/26/2033
110,6784,600000,105,16.48,19363,64,6/22/2011,3/22/2020
176,6552,700000,159,15.85,29809,141,10/4/2012,1/4/2026
189,9132,700000,156,17.46,36353,124,4/23/2022,4/23/2035
280,3564,400000,96,9.52,8625,71,7/27/2023,7/27/2031
162,6266,500000,138,10.22,10567,105,11/9/2018,5/9/2030
199,9252,800000,141,13.51,22869,81,5/5/2016,2/5/2028
10,8696,500000,72,8.95,11615,51,8/3/2010,8/3/2016
197,9462,600000,45,17.55,21657,25,6/14/2019,3/14/2023
167,7483,700000,9,15.31,77778,9,9/20/2020,6/20/2021
33,7638,1000000,114,16.7,35215,111,9/30/2016,3/30/2026
173,9255,500000,51,10.06,14385,47,10/3/2019,1/3/2024
182,5387,100000,93,17.46,3317,73,6/12/2018,3/12/2026
56,2895,800000,69,17.65,26134,46,1/11/2018,10/11/2023
218,7510,300000,75,12.24,7997,46,2/9/2022,5/9/2028
80,9946,500000,21,12.53,26793,11,4/13/2018,1/13/2020
28,4640,900000,153,15.77,34096,109,7/9/2013,4/9/2026
2,3957,200000,84,14.34,6083,74,4/22/2012,4/22/2019
160,3627,200000,177,12.65,5988,172,11/13/2010,8/13/2025
188,6065,300000,96,14.96,9533,63,12/12/2013,12/12/2021
101,2689,500000,27,17.68,25646,15,1/29/2016,4/29/2018
235,2766,600000,117,15.46,18700,106,9/10/2020,6/10/2030
265,9400,300000,9,12.04,33333,7,12/26/2015,9/26/2016
187,8044,300000,63,14.47,9359,62,4/17/2018,7/17/2023
92,7627,500000,6,13.11,83333,5,3/27/2014,9/27/2014
78,1185,900000,24,13.11,47977,21,3/21/2022,3/21/2024
159,1083,600000,162,16.94,28324,99,8/24/2017,2/24/2031
70,9337,900000,162,16.62,40999,161,1/21/2018,7/21/2031
43,2372,100000,3,16.2,33333,2,12/23/2018,3/23/2019
152,1275,700000,162,17.01,33303,149,4/2/2016,10/2/2029
286,5597,900000,84,10.95,22175,76,10/8/2014,10/8/2021
22,1978,300000,42,8.44,9108,30,11/1/2014,5/1/2018
63,1682,800000,33,8.97,28787,27,11/14/2022,8/14/2025
295,2365,600000,69,11.72,15134,53,7/8/2017,4/8/2023
123,8147,500000,165,8.23,8472,95,12/8/2013,9/8/2027
73,4758,400000,141,15.39,13699,115,11/2/2022,8/2/2034
273,3576,1000000,129,16.67,36224,74,5/29/2018,2/28/2029
229,2050,100000,45,16.27,3493,27,12/8/2017,9/8/2021
210,4690,100000,159,10.7,2358,133,9/10/2020,12/10/2033
119,8906,800000,81,15.81,23828,61,1/12/2019,10/12/2025
41,7058,500000,42,17.29,19209,32,6/27/2019,12/27/2022
260,1309,300000,90,11.92,7332,82,2/17/2018,8/17/2025
218,4058,500000,15,12.25,37417,11,6/13/2017,9/13/2018
118,6492,700000,24,11.68,36378,15,11/28/2013,11/28/2015
162,4662,200000,33,16.1,8169,18,12/22/2021,9/22/2024
227,3949,1000000,144,17.93,50249,133,5/20/2019,5/20/2031
68,9388,500000,15,10.21,36737,9,6/23/2013,9/23/2014
279,1845,1000000,39,13.24,37234,28,9/26/2019,12/26/2022
183,4824,900000,129,14.71,27521,112,7/16/2012,4/16/2023
272,6647,100000,93,17.55,3335,75,5/11/2017,2/11/2025
253,9937,200000,54,16.03,6713,42,1/10/2017,7/10/2021
153,5618,400000,60,16.12,14075,42,9/28/2017,9/28/2022
247,7130,900000,174,15.59,39317,99,11/6/2016,5/6/2031
281,6727,100000,72,13.88,3029,56,1/14/2015,1/14/2021
214,1732,200000,48,10.88,6298,37,7/20/2021,7/20/2025
115,3063,900000,9,17.35,100000,6,3/31/2019,12/31/2019
265,7756,400000,84,17.46,14690,76,9/10/2020,9/10/2027
88,3955,800000,39,12.77,29418,21,8/8/2016,11/8/2019
10,4534,900000,66,13.35,25516,61,6/22/2016,12/22/2021
56,8802,400000,96,8.71,8127,90,12/1/2015,12/1/2023
163,4590,900000,78,12.28,23119,49,2/28/2020,8/28/2026
74,4978,100000,108,15.72,3445,71,6/6/2015,6/6/2024
153,1817,400000,54,9.1,10495,28,2/13/2010,8/13/2014
254,6327,600000,111,16.85,21953,75,2/18/2015,5/18/2024
74,4645,600000,177,17.89,33951,109,8/22/2018,5/22/2033
34,4211,400000,45,11.33,12265,27,4/12/2016,1/12/2020
223,1264,100000,114,10.43,2142,60,6/30/2021,12/30/2030
166,3521,300000,126,9.33,5810,65,11/30/2019,5/30/2030
36,7295,300000,162,10,6393,118,11/7/2018,5/7/2032
277,8054,200000,165,13.88,6567,90,11/23/2016,8/23/2030
34,9719,500000,93,15.96,15158,84,5/28/2013,2/28/2021
229,1908,1000000,90,11.35,23582,74,5/21/2018,11/21/2025
51,6111,200000,51,17.94,7588,32,9/30/2018,12/30/2022
288,2968,300000,78,8.21,6175,59,6/8/2017,12/8/2023
142,6704,600000,162,16.02,25560,150,10/18/2014,4/18/2028
236,4361,300000,42,13.01,10309,33,9/1/2014,3/1/2018
29,7570,200000,42,13.36,6937,39,2/21/2010,8/21/2013
112,3478,400000,18,16.18,25818,18,12/14/2017,6/14/2019
173,7481,600000,129,11.22,13471,79,2/18/2013,11/18/2023
40,5350,700000,111,12.5,18203,99,5/23/2012,8/23/2021
27,7093,900000,147,11.84,23447,144,1/23/2018,4/23/2030
204,6857,700000,18,9.26,42490,14,12/25/2021,6/25/2023
287,6309,800000,75,15.08,24776,51,8/8/2015,11/8/2021
258,8660,700000,156,13.66,23707,113,3/5/2022,3/5/2035
7,4160,300000,105,12.35,7253,53,5/27/2014,2/27/2023
110,8192,500000,132,14.45,16717,88,11/27/2013,11/27/2024
165,3272,100000,156,17.95,5482,113,3/31/2022,3/31/2035
292,5021,600000,102,17.25,21011,55,9/28/2010,3/28/2019
186,7956,600000,123,10.16,12838,120,7/24/2020,10/24/2030
277,2577,300000,3,9.96,100000,2,10/12/2011,1/12/2012
114,1926,900000,141,12.46,23227,76,5/21/2019,2/21/2031
137,3761,800000,69,10.53,19127,65,1/1/2022,10/1/2027
239,5600,400000,108,16.29,14405,62,12/5/2014,12/5/2023
102,4895,200000,42,12.7,6816,40,12/23/2011,6/23/2015
19,7075,900000,162,12.41,25421,151,8/6/2017,2/6/2031
24,8451,400000,24,13.42,21440,23,7/21/2013,7/21/2015
292,3144,700000,21,8.25,36083,19,6/28/2015,3/28/2017
179,2290,600000,84,9,13057,45,7/13/2014,7/13/2021
260,1670,700000,141,9.49,13459,111,9/9/2020,6/9/2032
71,3826,900000,171,9.17,17976,111,6/5/2020,9/5/2034
300,9268,600000,162,14.34,21145,132,8/30/2012,2/28/2026
138,1944,400000,99,9.64,8437,78,5/5/2013,8/5/2021
76,6597,500000,48,8.44,14404,48,6/7/2017,6/7/2021
21,4273,900000,39,11.65,32118,25,2/14/2018,5/14/2021
294,4554,200000,156,9.3,4073,96,4/17/2020,4/17/2033
32,6627,400000,111,9.25,7990,62,6/26/2023,9/26/2032
68,1579,300000,120,8.47,5637,106,4/23/2010,4/23/2020
186,2797,500000,144,10.88,11991,85,4/25/2022,4/25/2034
83,5268,900000,147,8.85,16938,96,1/3/2021,4/3/2033
167,4359,600000,9,17.71,66667,6,10/5/2016,7/5/2017
81,1909,200000,135,8.7,3709,91,4/6/2018,7/6/2029
240,1065,400000,3,16.17,133333,3,10/1/2014,1/1/2015
106,7599,700000,63,14.6,21962,42,4/2/2014,7/2/2019
37,2977,700000,111,15.58,23212,64,7/25/2012,10/25/2021
19,7613,900000,171,12.67,27962,141,7/27/2017,10/27/2031
203,8862,500000,63,14.74,15784,35,4/19/2019,7/19/2024
293,5188,1000000,123,10.29,21650,69,8/9/2018,11/9/2028
72,1127,400000,147,14.06,13193,79,8/28/2019,11/28/2031
171,2313,600000,114,12.6,15314,107,2/17/2010,8/17/2019
82,4274,700000,96,11.3,17171,81,4/28/2012,4/28/2020
192,1862,200000,6,14.63,33333,6,6/25/2018,12/25/2018
73,7029,800000,93,15.91,24180,55,4/20/2013,1/20/2021
236,5686,500000,48,10.73,15660,47,4/24/2019,4/24/2023
10,6109,600000,138,13.76,17954,82,6/30/2017,12/30/2028
169,1304,500000,84,8.54,10564,51,8/24/2017,8/24/2024
204,1560,400000,69,8.34,8653,69,4/13/2019,1/13/2025
68,4420,800000,108,13.76,23636,89,4/17/2020,4/17/2029
49,3450,200000,123,16.61,7559,71,4/30/2011,7/30/2021
264,1253,400000,57,16.88,13096,51,11/30/2019,8/30/2024
74,3767,400000,81,15.12,11494,52,9/8/2017,6/8/2024
153,5284,700000,60,11.71,20296,50,6/15/2016,6/15/2021
95,8264,500000,165,15.57,19883,92,9/6/2015,6/6/2029
163,7053,900000,159,17.17,44408,113,9/25/2019,12/25/2032
295,1412,1000000,18,16.21,64561,15,10/22/2020,4/22/2022
9,8907,700000,111,16.51,24948,83,1/21/2017,4/21/2026
264,5624,700000,72,8.42,15791,50,11/30/2017,11/30/2023
90,9383,800000,87,11.41,19590,80,8/28/2014,11/28/2021
184,6726,1000000,27,11.78,46277,24,3/27/2018,6/27/2020
105,6043,200000,111,12.72,5293,93,3/27/2021,6/27/2030
292,2730,900000,102,10.68,19870,59,7/3/2021,1/3/2030
222,5257,900000,18,9.09,54545,9,7/15/2010,1/15/2012
281,5236,600000,66,12.27,16215,41,2/8/2020,8/8/2025
36,7598,800000,84,10.94,19698,51,6/12/2016,6/12/2023
109,6168,500000,141,11.74,12024,75,8/20/2013,5/20/2025
215,7062,900000,117,10.15,18362,91,10/24/2020,7/24/2030
29,4475,500000,156,12.67,15113,87,11/21/2011,11/21/2024
13,9609,700000,9,10.32,77778,7,9/28/2016,6/28/2017
109,1079,500000,177,15.4,20984,94,7/8/2010,4/8/2025
26,9164,100000,123,15.65,3480,89,5/15/2022,8/15/2032
254,1947,1000000,111,13.73,28678,90,2/29/2012,5/29/2021
213,2729,400000,114,12.43,10072,105,7/2/2020,1/2/2030
30,7768,600000,33,9.52,21808,33,5/26/2012,2/26/2015
175,3893,900000,3,16.65,300000,3,7/14/2014,10/14/2014
278,6656,300000,168,16.59,15313,92,6/10/2011,6/10/2025
244,8216,800000,153,11.25,18793,101,9/13/2019,6/13/2032
117,8974,1000000,39,17,41067,31,6/12/2023,9/12/2026
105,9490,400000,108,15.67,13728,85,6/24/2017,6/24/2026
14,2941,600000,129,8.11,10144,77,8/14/2013,5/14/2024
124,7166,200000,123,9.54,4044,80,5/3/2010,8/3/2020
200,6897,900000,144,15.69,35928,73,9/24/2017,9/24/2029
7,6538,900000,69,17.48,29189,39,3/6/2020,12/6/2025
246,7498,200000,174,12.97,6338,129,10/20/2020,4/20/2035
270,5663,200000,111,10.91,4576,97,7/4/2012,10/4/2021
72,8425,600000,72,15.57,19856,48,6/15/2012,6/15/2018
100,6916,100000,48,16.5,3838,45,7/22/2018,7/22/2022
9,6619,700000,156,10.4,16239,119,6/23/2011,6/23/2024
29,9617,400000,129,8.41,6953,76,1/18/2017,10/18/2027
113,5797,300000,54,13.47,9210,42,4/25/2017,10/25/2021
35,3279,800000,138,13.77,23962,79,5/19/2022,11/19/2033
104,1551,400000,18,12.66,25036,12,1/15/2016,7/15/2017
50,1535,200000,108,11.85,5074,86,4/16/2017,4/16/2026
92,2293,500000,168,16.42,25006,142,12/21/2022,12/21/2036
94,2499,900000,9,11.93,100000,9,9/16/2015,6/16/2016
118,3606,400000,150,10.93,9259,139,8/29/2019,2/29/2032
117,7543,800000,141,9.45,15319,113,7/21/2015,4/21/2027
167,3342,300000,114,10.85,6650,63,12/13/2019,6/13/2029
286,8709,1000000,177,11.28,25227,129,8/18/2011,5/18/2026
249,5890,300000,60,14.02,9636,50,2/4/2019,2/4/2024
290,5848,400000,87,10.7,9366,70,1/29/2018,4/29/2025
10,7638,800000,93,12.92,20137,58,3/20/2012,12/20/2019
261,2828,400000,96,13.9,11803,58,1/5/2010,1/5/2018
98,7547,300000,75,11.69,7765,43,1/23/2014,4/23/2020
277,7953,500000,6,8.84,83333,5,4/20/2018,10/20/2018
100,8274,900000,48,16.13,34102,43,9/1/2019,9/1/2023
96,3221,300000,111,10.31,6536,61,1/28/2014,4/28/2023
250,8485,800000,27,8.44,34842,22,6/7/2010,9/7/2012
17,7009,1000000,66,10.36,24804,35,12/2/2016,6/2/2022
76,7052,500000,174,17.81,28508,162,10/27/2015,4/27/2030
58,9342,200000,36,10.61,7518,33,3/29/2022,3/29/2025
173,4526,500000,171,16.35,24361,98,7/9/2015,10/9/2029
294,5842,500000,99,16.32,16927,71,9/26/2016,12/26/2024
258,2352,400000,129,13.07,10591,123,9/21/2017,6/21/2028
47,6430,600000,114,14.08,17224,66,12/13/2021,6/13/2031
204,9177,700000,90,11.83,17012,45,10/1/2016,4/1/2024
112,5494,500000,57,14.22,14930,42,6/28/2012,3/28/2017
205,9584,300000,21,10.81,15830,20,9/6/2016,6/6/2018
45,1558,200000,12,8.3,18050,9,8/2/2014,8/2/2015
149,7635,700000,111,15.24,22605,62,5/7/2010,8/7/2019
108,5500,600000,117,10.32,12412,104,8/26/2022,5/26/2032
172,3236,700000,153,11.2,16356,134,6/17/2010,3/17/2023
248,5591,700000,33,8.22,24843,31,7/5/2013,4/5/2016
98,3104,300000,39,14.24,11469,32,6/13/2021,9/13/2024
221,8089,800000,102,16.96,27466,94,11/16/2015,5/16/2024
182,7334,400000,39,8.81,13213,28,6/1/2015,9/1/2018
174,1060,300000,36,9.94,11074,22,1/30/2012,1/30/2015
229,2842,200000,57,12.47,5614,47,10/8/2014,7/8/2019
207,4112,300000,129,13.66,8368,116,1/8/2017,10/8/2027
48,4430,300000,30,17.64,13839,19,6/9/2019,12/9/2021
201,8664,700000,147,11.23,17078,110,2/14/2022,5/14/2034
245,6380,600000,15,14.76,45904,9,10/1/2020,1/1/2022
139,3353,500000,135,11.98,12858,101,4/8/2019,7/8/2030
70,8478,1000000,171,17.8,57948,158,11/24/2019,2/24/2034
295,2017,600000,141,11.46,14036,111,8/4/2015,5/4/2027
254,2582,1000000,51,11.83,30666,27,6/14/2018,9/14/2022
92,1793,100000,165,13.59,3176,123,8/20/2020,5/20/2034
257,3583,500000,96,11.96,12859,92,5/8/2011,5/8/2019
208,9843,200000,147,12.04,5323,137,7/10/2018,10/10/2030
158,3234,700000,123,8.68,13082,115,4/15/2014,7/15/2024
198,6183,500000,63,8.64,12011,36,12/23/2016,3/23/2022
268,8961,300000,180,10.7,7657,134,9/12/2022,9/12/2037
259,1611,700000,117,10.31,14469,62,8/10/2011,5/10/2021
199,1072,600000,21,15.11,32889,13,3/8/2022,12/8/2023
35,8684,300000,84,17.03,10738,57,11/21/2018,11/21/2025
127,1116,400000,54,11.17,11314,36,4/30/2010,10/30/2014
220,7158,900000,141,9.76,17779,98,10/26/2017,7/26/2029
269,1153,200000,93,12.07,4775,86,5/16/2012,2/16/2020
224,4290,300000,15,12.3,22460,14,8/28/2019,11/28/2020
136,1198,900000,147,14.82,32147,98,5/3/2013,8/3/2025
152,9847,200000,168,15.36,8800,108,9/13/2016,9/13/2030
50,5200,900000,24,8.83,44415,24,11/28/2015,11/28/2017
126,5368,100000,108,15.75,3454,72,6/28/2012,6/28/2021
135,5637,300000,123,9.53,6061,100,1/29/2016,4/29/2026
95,8715,500000,159,10.44,11434,128,5/24/2011,8/24/2024
244,2696,1000000,63,17.54,35611,62,8/14/2015,11/14/2020
48,9623,100000,51,15.95,3544,28,11/1/2021,2/1/2026
86,6575,300000,96,14.63,9316,48,6/14/2010,6/14/2018
94,3888,900000,108,15.75,31082,75,8/28/2017,8/28/2026
255,1800,200000,171,10.25,4585,109,2/10/2023,5/10/2037
247,2120,600000,135,13.16,17316,83,11/24/2013,2/24/2025
300,6414,800000,84,11.51,20418,52,9/28/2022,9/28/2029
209,4196,600000,75,10.5,14563,58,11/3/2016,2/3/2023
27,3173,100000,180,8.2,1812,101,11/24/2016,11/24/2031
123,7482,700000,153,9.45,13521,152,8/18/2020,5/18/2033
264,8219,900000,108,16,31691,83,5/9/2013,5/9/2022
237,3807,100000,174,8.65,1836,171,8/27/2017,2/27/2032
32,6546,800000,105,9.45,15690,60,1/28/2014,10/28/2022
16,6181,400000,114,16.19,13542,111,12/3/2012,6/3/2022
230,4989,200000,138,17.82,8802,133,2/21/2018,8/21/2029
52,9676,900000,174,16.87,45871,128,5/9/2019,11/9/2033
53,4151,300000,84,9.83,6885,52,11/26/2010,11/26/2017
250,3089,700000,144,15.72,28031,119,1/19/2012,1/19/2024
14,8279,700000,33,16.32,28701,33,2/6/2015,11/6/2017
41,7930,500000,153,16.52,20468,132,9/28/2022,6/28/2035
290,6558,100000,153,16.38,4035,94,2/20/2016,11/20/2028
198,1107,1000000,18,11.61,62006,9,11/23/2012,5/23/2014
122,6175,1000000,141,16.89,39476,104,12/28/2017,9/28/2029
45,3789,1000000,132,15.43,36722,120,9/6/2021,9/6/2032
41,2992,700000,87,11.8,17566,57,8/12/2022,11/12/2029
119,7532,800000,60,13.2,24784,36,9/10/2016,9/10/2021
114,9410,100000,168,10.33,2357,154,12/26/2010,12/26/2024
102,1631,900000,66,9.17,21145,61,5/28/2023,11/28/2028
216,6543,800000,171,16.38,39119,125,7/18/2012,10/18/2026
184,5623,100000,99,15.47,3192,65,11/18/2013,2/18/2022
290,5695,300000,174,13.14,9710,163,10/25/2022,4/25/2037
289,1184,500000,81,11.37,11779,63,4/8/2016,1/8/2023
144,2743,700000,72,12.25,19448,42,8/13/2010,8/13/2016
159,8695,100000,168,8.1,1771,118,8/23/2013,8/23/2027
8,2520,1000000,99,16.19,33552,50,10/25/2013,1/25/2022
236,5692,800000,177,9.66,16436,106,11/16/2021,8/16/2036
270,3109,200000,165,13.77,6485,115,12/25/2010,9/25/2024
224,6703,900000,171,16.74,45954,134,7/12/2014,10/12/2028
23,4585,200000,42,10.15,6364,25,8/5/2017,2/5/2021
8,6045,600000,21,17.86,33674,21,12/31/2021,9/30/2023
198,6063,900000,132,10.95,21383,132,5/14/2021,5/14/2032
111,6647,500000,105,17.99,17887,53,2/13/2020,11/13/2028
241,3163,100000,153,12.07,2566,124,4/13/2023,1/13/2036
61,4231,700000,3,16.24,233333,2,8/3/2012,11/3/2012
47,3212,900000,48,12.26,29778,35,9/1/2022,9/1/2026
53,4774,500000,162,9.25,9748,123,9/1/2011,3/1/2025
36,9338,500000,123,9.76,10316,86,10/15/2022,1/15/2033
122,1511,200000,150,11.22,4777,110,5/18/2023,11/18/2035
83,9976,800000,60,17.54,29913,60,4/8/2023,4/8/2028
81,7008,300000,165,11.54,7520,97,5/29/2019,2/28/2033
137,9076,800000,159,13.57,26310,132,1/31/2017,4/30/2030
152,4504,900000,54,12.09,26310,46,7/18/2020,1/18/2025
188,2880,500000,60,12.68,15137,41,11/19/2013,11/19/2018
238,8874,1000000,6,16.47,166667,5,7/13/2023,1/13/2024
36,5768,100000,48,9.1,2952,34,12/5/2012,12/5/2016
230,7603,200000,120,15.72,7177,78,2/28/2021,2/28/2031
162,9367,900000,57,17.8,30405,54,3/29/2018,12/29/2022
161,8750,300000,18,9.18,18197,18,1/6/2022,7/6/2023
94,6611,1000000,36,9.92,36892,29,5/10/2015,5/10/2018
269,7477,200000,48,12.11,6582,28,2/22/2023,2/22/2027
99,7022,700000,171,14.3,26592,93,4/25/2012,7/25/2026
120,3015,400000,66,14.11,11726,39,10/22/2022,4/22/2028
77,9688,500000,60,8.5,12530,50,9/4/2016,9/4/2021
75,2066,700000,111,17.74,27422,66,5/3/2013,8/3/2022
271,4297,200000,48,10.12,6127,47,5/20/2018,5/20/2022
246,9836,600000,90,9.44,12535,58,9/9/2012,3/9/2020
234,8225,700000,129,9.83,13859,115,10/11/2010,7/11/2021
205,3695,700000,84,10.06,16301,60,5/31/2013,5/31/2020
12,8588,500000,81,17.96,16630,71,7/20/2017,4/20/2024
59,7524,600000,30,17.3,27519,26,4/24/2021,10/24/2023
284,1485,500000,105,10.83,10840,94,10/30/2016,7/30/2025
275,6638,900000,150,13.97,28816,139,8/29/2022,2/28/2035
22,3319,300000,180,11.64,8693,143,7/12/2019,7/12/2034
35,5872,600000,165,10.5,13316,161,9/17/2013,6/17/2027
100,2290,400000,21,17.98,22472,21,9/2/2019,6/2/2021
251,9370,100000,9,9.16,11111,7,10/11/2022,7/11/2023
166,4615,900000,15,12.03,67218,11,9/22/2018,12/22/2019
73,2683,200000,51,9.77,5694,32,5/13/2013,8/13/2017
45,1884,500000,27,17.73,25667,27,1/15/2021,4/15/2023
154,1130,100000,75,16.5,3333,45,3/11/2010,6/11/2016
30,8331,1000000,171,17.88,58501,91,12/24/2012,3/24/2027
